,MSE,RMSE,MAE,R2
Bayesian Ridge Regression,0.0049826391681143355,0.07058781175326471,0.04674189624340619,0.6677138372176863
Linear Regression,0.004961523530788445,0.07043808295793154,0.046944636719387,0.6691220134602334
